cik,company_name,fis_yr,filling_date,complexity,ex13,10k_url,ex13_url
78003,PFIZER INC,2018,20190228,0.390374332,1,https://www.sec.gov/Archives/edgar/data/78003/000007800319000015/pfe-12312018x10kshell.htm,['https://www.sec.gov/Archives/edgar/data/78003/000007800319000015/pfe-exhibit13x12312018x10k.htm']
764622,PINNACLE WEST CAPITAL CORP,2018,20190222,0.262032086,0,https://www.sec.gov/Archives/edgar/data/7286/000076462219000019/pnw2018123110-k.htm,
713676,"PNC FINANCIAL SERVICES GROUP, INC.",2018,20190301,0.360962567,0,https://www.sec.gov/Archives/edgar/data/713676/000071367619000015/pnc201810k.htm,
79879,PPG INDUSTRIES INC,2018,20190221,0.267379679,1,https://www.sec.gov/Archives/edgar/data/79879/000007987919000008/ppg201810k.htm,"['https://www.sec.gov/Archives/edgar/data/79879/000007987919000008/ppg201810kex131-marketinfo.htm', 'https://www.sec.gov/Archives/edgar/data/79879/000007987919000008/ppg201810kex132-selectedfi.htm']"
922224,PPL Corp,2018,20190214,0.347593583,0,https://www.sec.gov/Archives/edgar/data/55387/000092222419000015/ppl-1231201810k.htm,
1113169,PRICE T ROWE GROUP INC,2018,20190213,0.200534759,0,https://www.sec.gov/Archives/edgar/data/1113169/000111316919000011/a201810k.htm,
80424,PROCTER & GAMBLE Co,2018,20180807,0.262032086,0,https://www.sec.gov/Archives/edgar/data/80424/000008042418000055/fy171810-kreport.htm,
80661,PROGRESSIVE CORP/OH/,2018,20190227,0.278074866,1,https://www.sec.gov/Archives/edgar/data/80661/000008066119000008/pgr-20181231x10k.htm,['https://www.sec.gov/Archives/edgar/data/80661/000008066119000008/pgr-20181231exhibit13annua.htm']
788784,PUBLIC SERVICE ENTERPRISE GROUP INC,2018,20190228,0.304812834,0,https://www.sec.gov/Archives/edgar/data/81033/000078878419000005/pseg201810k.htm,
822416,PULTEGROUP INC/MI/,2018,20190131,0.20855615,0,https://www.sec.gov/Archives/edgar/data/822416/000082241619000008/a201810-k.htm,
804328,QUALCOMM INC/DE,2018,20181107,0.328877005,0,https://www.sec.gov/Archives/edgar/data/804328/000172894918000095/qcom10-k2018.htm,
1281761,REGIONS FINANCIAL CORP,2018,20190222,0.296791444,0,https://www.sec.gov/Archives/edgar/data/1281761/000128176119000019/rf-20181231x10k.htm,
1024478,ROCKWELL AUTOMATION INC,2018,20181109,0.270053476,0,https://www.sec.gov/Archives/edgar/data/1024478/000102447818000032/fy2018form10k.htm,
64040,S&P Global Inc.,2018,20190213,0.272727273,0,https://www.sec.gov/Archives/edgar/data/64040/000006404019000059/spgi-20181231x10k.htm,
87347,SCHLUMBERGER LIMITED/NV,2018,20190123,0.235294118,0,https://www.sec.gov/Archives/edgar/data/87347/000156459019000928/slb-10k_20181231.htm,
316709,SCHWAB CHARLES CORP,2018,20190222,0.259358289,0,https://www.sec.gov/Archives/edgar/data/316709/000031670919000008/schw-12312018x10k.htm,
